Date,Spot,Index
09-Jul-10,11400.95,Nifty Next 50
09-Jul-10,1692.11,Media
09-Jul-10,4038.93,Metal
09-Jul-10,8301.1,Mid Cap
09-Jul-10,2787,Mid Cap 50
09-Jul-10,5352.45,Nifty
09-Jul-10,5322.15,Nifty 100
09-Jul-10,2817.57,Nifty 200
09-Jul-10,4461.55,Nifty 500
09-Jul-10,7185.62,Nifty EQW
09-Jul-10,6690.13,Nifty TRI
09-Jul-10,4271.77,Pharma
09-Jul-10,427.48,Realty
09-Jul-10,3794.92,Small Cap
09-Jul-10,20.22,VIX
16-Jul-10,3503.97,Auto
16-Jul-10,10013.45,Bank
16-Jul-10,9493.39,Energy
16-Jul-10,4121.54,Finance
16-Jul-10,8412.43,FMCG
16-Jul-10,18.0755,GoldBees
16-Jul-10,3493.23,Infra
16-Jul-10,6086.1,IT
16-Jul-10,11535.5,Nifty Next 50
16-Jul-10,1729.94,Media
16-Jul-10,4076.64,Metal
16-Jul-10,8394.9,Mid Cap
16-Jul-10,2797.2,Mid Cap 50
16-Jul-10,5393.9,Nifty
16-Jul-10,5366.9,Nifty 100
16-Jul-10,2839.37,Nifty 200
16-Jul-10,4490.05,Nifty 500
16-Jul-10,7241.99,Nifty EQW
16-Jul-10,6743.58,Nifty TRI
16-Jul-10,4234.37,Pharma
16-Jul-10,455.11,Realty
16-Jul-10,3846.62,Small Cap
16-Jul-10,19.7,VIX
23-Jul-10,3537.01,Auto
23-Jul-10,10093.9,Bank
23-Jul-10,9536.38,Energy
23-Jul-10,4139.15,Finance
23-Jul-10,8414.61,FMCG
23-Jul-10,18.0405,GoldBees
23-Jul-10,3541.85,Infra
23-Jul-10,6100.4,IT
23-Jul-10,11577.75,Nifty Next 50
23-Jul-10,1703.75,Media
23-Jul-10,4228.17,Metal
23-Jul-10,8423.35,Mid Cap
23-Jul-10,2828.15,Mid Cap 50
23-Jul-10,5449.1,Nifty
23-Jul-10,5416.1,Nifty 100
23-Jul-10,2862.4,Nifty 200
23-Jul-10,4523.25,Nifty 500
23-Jul-10,7310.64,Nifty EQW
23-Jul-10,6812.99,Nifty TRI
23-Jul-10,4177.93,Pharma
23-Jul-10,458.4,Realty
23-Jul-10,3872.55,Small Cap
23-Jul-10,19.24,VIX
30-Jul-10,3515.02,Auto
30-Jul-10,10161,Bank
30-Jul-10,9281.55,Energy
30-Jul-10,4149.68,Finance
30-Jul-10,8370.17,FMCG
30-Jul-10,17.53,GoldBees
30-Jul-10,3432.55,Infra
30-Jul-10,6086.85,IT
30-Jul-10,11564.25,Nifty Next 50
30-Jul-10,1714.09,Media
30-Jul-10,4187.56,Metal
30-Jul-10,8415.3,Mid Cap
30-Jul-10,2796.1,Mid Cap 50
30-Jul-10,5367.6,Nifty
30-Jul-10,5347.2,Nifty 100
30-Jul-10,2828.54,Nifty 200
30-Jul-10,4475.15,Nifty 500
30-Jul-10,7210.87,Nifty EQW
30-Jul-10,6712.14,Nifty TRI
30-Jul-10,4148.61,Pharma
30-Jul-10,441.6,Realty
30-Jul-10,3845.09,Small Cap
30-Jul-10,18.94,VIX
06-Aug-10,3573.31,Auto
06-Aug-10,10383.65,Bank
06-Aug-10,9237.71,Energy
06-Aug-10,4251.29,Finance
06-Aug-10,8586.63,FMCG
06-Aug-10,17.66,GoldBees
06-Aug-10,3465.35,Infra
06-Aug-10,6259.9,IT
06-Aug-10,11687.65,Nifty Next 50
06-Aug-10,1784.28,Media
06-Aug-10,4209.5,Metal
06-Aug-10,8546.3,Mid Cap
